asset,beta_bri,year,br,compounded_xret,rank_beta,rank_br,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,soe
498,-0.008287271,2018,2.53E-05,-0.085778958,-0.272058824,0.299019608,1.014419139,0.540686065,0.183533449,-0.355981557,1
498,0.1445407,2019,3.56E-05,0.137111844,0.975961538,0.634615385,1.284701676,1.192679645,1.073331602,0.588292636,1
506,0.151622028,2018,3.84E-05,-0.397343129,0.99754902,0.602941176,0.845073264,0.943028666,-0.771298158,-0.1371875,0
506,-0.04408806,2019,2.08E-05,-0.14680882,-0.685096154,0.254807692,0.643282023,1.003646829,-0.62924507,0.336081014,0
507,0.020222995,2016,8.10E-05,-0.274035015,0.266558966,0.906300485,0.939845052,1.46997417,-0.10357422,-0.986245954,1
507,0.016757734,2017,8.14E-05,-0.347979932,0.883419689,0.89119171,1.248063668,1.147719938,0.102699146,0.320837561,1
507,0.029702141,2018,7.80E-05,-0.15547455,0.629901961,0.926470588,0.988918716,0.603260677,0.29431855,-0.182103385,1
507,-0.004245769,2019,6.96E-05,0.148525821,-0.038461538,0.913461538,0.867911105,0.768152515,0.089321462,0.662187474,1
514,0.031277666,2016,2.40E-05,-0.408399738,0.424878837,0.266558966,0.869008817,0.536910037,-0.693821297,-0.535496139,1
514,-0.020939801,2019,2.22E-05,-0.11752715,-0.375,0.317307692,1.115471056,1.112266027,0.624590384,0.475701008,1
516,0.027190613,2016,1.45E-05,-0.145102081,0.369951535,-0.172859451,0.820564425,0.383016842,-0.567590338,-0.173510424,0
