asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br
570,0.000259244,0.936540012,1.422621524,0.431243845,0.354949248,2018,4.20E-05,-0.140699131,0.199951782,-0.044117647,0.651960784
582,0.023690814,0.404258336,2.55948418,0.334847162,-1.029609726,2017,5.33E-05,0.187622372,-0.335359999,0.950777202,0.730569948
582,0.058133605,1.165302487,0.907860129,-0.336293127,0.400795549,2018,5.47E-05,0.195823087,0.187622372,0.906862745,0.789215686
582,-0.052447993,0.956992526,1.192831898,0.647164097,-0.468611312,2019,3.60E-05,-0.222597503,0.195823087,-0.778846154,0.644230769
586,0.051805486,0.778951201,-0.486486261,-0.736482415,-0.971948949,2016,4.94E-05,-0.45960285,-0.122478655,0.657512116,0.741518578
586,-0.028073995,1.123651188,0.780268343,0.606926316,0.839173133,2018,1.32E-05,-0.23755945,0.120561163,-0.651960784,-0.210784314
589,0.017991159,1.009762916,1.044514362,-0.396478239,0.372218043,2016,1.50E-05,-0.416427742,0.041434339,0.231017771,-0.137318255
592,0.053750366,1.123863704,0.809076581,-0.906041608,0.060854809,2016,1.04E-05,-0.491078769,-0.198230554,0.66720517,-0.731825525
596,0.037590204,1.044624851,1.61078463,1.225495414,0.423549359,2016,1.22E-05,0.737688234,0.059046798,0.508885299,-0.460420032
598,-0.025136203,1.286469592,0.42140251,0.198084408,0.30480906,2016,9.90E-05,-0.274946063,0.059641307,-0.431340872,0.948303716
598,0.000277171,1.101963715,1.033873999,0.535083139,-0.237183822,2017,6.54E-05,0.120533866,-0.274946063,-0.067357513,0.823834197
599,0.04098631,1.009753266,1.044375825,0.055420047,0.142871023,2018,1.26E-05,-0.069579138,-0.097207364,0.772058824,-0.257352941
599,0.015353077,1.156198272,1.216718627,0.266382649,0.049685233,2019,4.60E-05,-0.027242234,-0.069579138,0.317307692,0.774038462
600,-0.000397128,1.085204976,0.91882707,-0.163668463,-0.38408248,2017,9.77E-06,0.185101009,-0.547635615,-0.142487047,-0.787564767
600,0.014347708,1.225386749,0.80172958,-0.462803114,0.458288541,2018,9.20E-06,-0.232547616,0.185101009,0.330882353,-0.794117647
600,-0.047545419,1.034356901,1.37089094,0.898136005,-0.051438159,2019,9.16E-06,-0.020667165,-0.232547616,-0.735576923,-0.704326923
607,-0.049860325,1.010427235,1.61057249,0.280125075,-0.831318843,2019,2.77E-05,-0.183022364,-0.280913593,-0.754807692,0.475961538
610,0.051346119,1.078093484,2.202314613,0.569823221,-0.152497481,2019,1.25E-05,0.230341678,-0.210695189,0.75,-0.211538462
619,-0.00577722,1.121172616,0.839482579,-0.321823913,0.057062738,2017,4.61E-05,-0.140369338,-0.340448456,-0.650259067,0.655440415
619,0.019394603,0.892839063,0.461721035,-0.171687307,0.361237695,2018,4.26E-05,-0.133630667,-0.140369338,0.43872549,0.664215686
619,-0.000695542,0.751365136,1.055827807,0.504701488,-0.079009512,2019,1.34E-05,0.091566454,-0.133630667,0.036057692,-0.146634615
625,0.022091418,1.224418855,-0.335793823,0.504215545,0.127140856,2016,1.05E-05,-0.385535638,0.087712744,0.305331179,-0.709208401
625,-0.015812869,1.210869051,0.466795616,0.443838755,0.138679308,2019,9.68E-06,1.354312929,0.639003183,-0.28125,-0.596153846
626,0.202967848,1.388251092,-0.157958565,-1.566636745,-0.324364742,2016,2.10E-05,-0.62390293,-0.422002697,0.996768982,0.111470113
628,0.003707782,0.803751334,1.222968416,0.058644886,-0.350067061,2016,1.24E-05,-0.140390654,-0.28628208,-0.017770598,-0.43457189
628,-0.011211931,0.938380246,1.242383217,-0.429475057,0.033856209,2017,1.21E-05,0.232502197,-0.140390654,-0.836787565,-0.440414508
628,-0.020003491,0.958070807,1.539550942,0.763030976,0.415581032,2018,1.22E-05,-0.197731569,0.232502197,-0.531862745,-0.301470588
628,-0.020197508,0.959651959,1.273591766,0.383366032,0.070976879,2019,1.08E-05,-0.046567485,-0.197731569,-0.362980769,-0.387019231
630,-0.010178547,0.95914831,0.765660889,0.600296025,-0.087120064,2018,1.02E-05,-0.223452394,0.110236704,-0.333333333,-0.656862745
632,0.076273514,1.059206752,1.059275117,-0.457001167,0.192231356,2016,1.43E-05,-0.067405924,-0.264090952,0.780290792,-0.192245557
651,0.014020782,1.314565421,-0.72071534,0.484692102,-0.396210701,2018,1.81E-05,0.064275579,0.164214938,0.321078431,-0.007352941
652,0.008856205,1.24924718,0.948407298,0.131307865,0.285177031,2016,2.96E-05,-0.413523496,0.137120069,0.053311793,0.444264943
657,0.079190263,1.109312585,-1.372935974,-3.092579346,0.616992467,2016,1.69E-05,-0.185429603,-0.199194981,0.79644588,-0.04361874
659,0.027080429,0.404107309,0.776468187,0.322752212,0.230041959,2019,1.06E-05,0.441362042,-0.259139215,0.483173077,-0.420673077
665,-0.043944392,1.209725782,1.597250064,0.38387067,0.352638619,2016,5.22E-05,-0.288203868,-0.187279073,-0.634894992,0.767366721
665,0.002418618,0.990744375,0.863554302,0.0313681,0.101419218,2017,2.20E-05,-0.060247014,-0.288203868,0.215025907,0.069948187
668,0.00292712,0.994049327,0.499000043,-0.661000249,0.334721366,2017,1.40E-05,0.460466863,-0.354571179,0.284974093,-0.233160622
668,0.047980929,1.056027351,0.557880651,-0.102398598,0.284610872,2018,1.40E-05,0.158201796,0.460466863,0.833333333,-0.154411765
672,-0.060058401,1.101048487,-0.145440176,-0.113366601,-0.017823172,2016,2.61E-05,-0.0073813,0.510017992,-0.773828756,0.350565428
672,-0.013397744,0.73979403,-0.022526858,-1.656627752,-0.697803905,2017,0.000114742,0.387605013,-0.0073813,-0.867875648,0.955958549
