asset,date,rank_beta,rank_br,xret_cumulative,ch4mkt_beta_avg,ch4smb_beta_avg,ch4vmg_beta_avg,ch4pmo_beta_avg,roe_avg,roa_avg,log_me_avg,bm_avg,ep_value,sue_value,cdi_value,ndp_value,ORR,TOR_growth,TOC_growth,OC_growth,Total_AGR,tl_growth,COD_IE,COD_FE,LEV,LNTAS,Liquidity,FAP,LNTL
300074,2019,-0.721153846,0.168269231,-0.073337559,1.33523922,1.73911557,-0.554549518,0.458147756,0.004286332,0.003135136,14.54456488,0.577450096,-0.003236671,0.474911486,-0.663501776,0.119900257,0.073244585,0.073244585,0.038626602,0.103640016,-0.102491848,-0.312121404,,-0.01899944,1.286077712,21.12512551,2.446700146,0.20670833,19.62203667
300079,2016,-0.208400646,0.599353796,-0.385770738,1.079674236,0.888639014,-0.755940572,0.302507877,0.008856972,0.007605194,15.50255307,0.666605639,0.011884512,-3.573213187,-0.669545202,-0.073326908,0.123340641,0.123340641,0.100811412,0.215727178,0.084101831,0.617401849,,-0.12551644,1.231873807,22.21061403,3.550660151,0.103526787,20.54051561
300079,2017,-0.569948187,0.75388601,0.540387148,0.974898088,0.96995724,-0.895393279,-0.017991914,0.008365278,0.006763345,15.46670061,0.72750585,0.007583353,0.798310804,-2.311402531,-0.132828446,-0.383788502,-0.383788502,-0.392427827,-0.477935978,-0.017087216,-0.338915842,,-0.223722216,1.144948295,22.19337915,5.063420657,0.098330095,20.12664148
300079,2018,0.164215686,0.93872549,-0.176454636,1.266904824,1.145600201,-1.153330451,0.164039477,0.000146395,4.13e-05,15.67454392,0.599446604,-0.004523519,0.272759416,,-0.198524926,-0.089532238,-0.089532238,-0.02246743,0.151597851,0.03925988,0.006005681,,-32.64042153,1.139662484,22.23188795,5.20507995,0.075213419,20.1326292
300079,2019,-0.987980769,0.903846154,0.599938813,1.160230057,1.39287017,-0.66398613,1.004205514,0.006350922,0.005600784,15.65103435,0.643269751,0.001513086,1.025223315,-2.506185287,-0.144280655,0.191762408,0.191762408,0.082146729,0.003310093,0.026436261,0.133966954,,,1.156584717,22.25798081,4.947464318,0.073155053,20.25835126
300080,2018,-0.708333333,-0.029411765,-0.261578378,1.143871204,1.10672725,-0.35789199,0.696269258,0.176472744,0.083706647,14.8116724,1.785046381,0.003213064,-0.043667613,-1.637143493,0.535491244,0.183250577,0.183250577,0.251189198,0.230400489,1.126804858,0.564693877,,0.024572203,1.685313107,22.93907343,1.388484526,0.263860527,22.03924261
300082,2017,-0.932642487,0.658031088,0.39743701,0.989027427,1.119323243,0.186254049,-0.040350668,0.03121809,0.016248147,15.24150802,0.796242281,0.013775957,0.57040219,,0.302961293,-0.105254489,-0.105254489,-0.113419452,-0.112101935,-0.184853075,-0.385049328,,0.04037679,1.577541981,22.33934299,1.240787651,0.380728649,21.33450092
300082,2018,-0.323529412,0.767156863,0.016788589,1.100561119,1.254113492,0.554024695,-0.084133496,0.023942063,0.015252348,15.21800924,0.81777909,0.002929946,0.714398727,,0.235158966,-0.228426913,-0.228426913,-0.249272932,-0.264017879,-0.0809157,-0.294491868,,0.020087439,1.390874394,22.25496556,1.532433102,0.383946429,20.98566394
300082,2019,0.302884615,0.536057692,0.960322828,1.353943431,1.31482741,-0.788357899,-1.050663386,0.034713867,0.024670699,15.76035986,0.501896502,0.006488927,0.318122623,-0.694708014,0.163954697,0.352792938,0.352792938,0.426932958,0.469237132,0.213340583,0.724600418,,0.012538938,1.665121536,22.44834293,1.035517465,0.326363436,21.53065932
300087,2018,-0.169117647,-0.914215686,0.430140233,0.792194698,1.041654416,-0.01904851,-0.164307759,-0.024168112,-0.013913017,15.19515157,0.228636104,0.001072718,-0.13869379,0.149949068,0.147486086,1.6134775,1.6134775,1.376089772,2.58632229,0.353551923,1.523687796,,0.008492985,3.246431346,21.4331058,1.166209111,0.096824765,21.06489234
