asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
2811,-0.001522691,2017,0.000111464,-0.03857476,-0.379966339,-0.29015544,0.948186528,-0.466954229,1.356541117,0.913673771,-0.271893748,0.800070027,1264800.0000000007
2822,-0.009640554,2017,1.21e-05,0.085889424,-0.559687815,-0.79015544,-0.440414508,-0.460920748,1.227844364,2.114303651,0.746327542,0.391182448,1807026.7499999988
300004,0.000583349,2017,7.19e-05,0.181116633,-0.677697209,-0.018134715,0.875647668,-0.28683056,0.315067319,1.49583144,-0.364011301,-0.302790344,4850190.309166669
300008,-0.017598792,2017,2e-05,-0.20788243,-0.425727316,-0.893782383,-0.031088083,-0.30062007,0.995639454,0.261606234,-1.476109972,0.744460821,4658822.5266666645
300019,0.001178468,2017,1.27e-05,-0.014972746,-0.342607774,0.059585492,-0.360103627,-0.275053841,1.159976276,2.386838982,0.680089641,0.096427289,2237170.4358333317
300031,-0.000875661,2017,1.19e-05,-0.111465491,-0.259908657,-0.220207254,-0.492227979,-0.302679485,0.82321731,0.605131517,-0.484141899,0.574837796,4636368.6608333355
300035,-0.004632971,2017,1.07e-05,0.033782628,-0.346719264,-0.582901554,-0.665803109,0.003517733,1.393437828,1.939386179,-0.118036398,-0.034407441,2976195.1133333347
300036,-0.002333605,2017,2.01e-05,-0.282856511,0.234504377,-0.375647668,-0.028497409,-0.122927595,1.064195034,0.208867574,-1.993794848,-0.499750568,5312996.971666667
300039,-0.003673628,2017,1.26e-05,-0.227298116,-0.191997762,-0.471502591,-0.380829016,-0.193271679,0.801867193,1.126043852,0.012062594,-0.094889324,5853596.805000001
300040,-0.001230171,2017,3.97e-05,0.021902879,-0.42469297,-0.261658031,0.580310881,-0.161011495,1.066381634,1.690876305,0.028923883,-0.055233535,2506713.6091666664
300041,-0.009157531,2017,1.11e-05,0.051997137,-0.257632333,-0.779792746,-0.603626943,-0.198966364,1.088940911,1.114291516,-0.15144456,0.398610556,2996471.973333332
300044,-0.022951601,2017,1.7e-05,0.008763218,-0.364245961,-0.935233161,-0.137305699,0.019258564,1.306643904,1.216370687,-0.964153464,-0.690124429,4610358.132499999
300045,-0.004866396,2017,3.89e-05,-0.047975134,-0.103542897,-0.606217617,0.57253886,-0.164461005,0.86287771,-0.329284069,-2.624170324,0.217063426,4225084.693333332
300048,-0.01010691,2017,4.63e-05,-0.082582681,-0.424366915,-0.800518135,0.663212435,-0.355292456,1.078644368,1.299525531,-0.412145279,0.037531266,5003798.141666665
300050,-0.004258102,2017,8.54e-06,0.040794934,-0.411623304,-0.554404145,-0.937823834,-0.406435836,0.888976432,2.205035985,-0.203022944,-0.510052988,3387162.4508333355
300056,0.020477547,2017,1.89e-05,0.11396838,-0.602509342,0.924870466,-0.062176166,-0.560996939,0.873575632,-0.800278489,-2.362077187,1.515090888,2846222.125833333
300067,0.007626229,2017,1.13e-05,0.043322564,-0.099965329,0.652849741,-0.569948187,-0.177554022,1.039576113,2.003711017,0.705944272,-0.621572692,2815647.434166666
300069,0.005614669,2017,2.57e-05,0.302114712,-0.64069695,0.564766839,0.230569948,-0.296874878,0.52222736,0.75854657,0.196968052,-0.377947779,3218475.7775000017
300074,-0.001645552,2017,2.27e-05,0.074597867,-0.445264499,-0.310880829,0.090673575,-0.106543812,0.821703068,0.314965164,-0.635412355,0.790922152,3312322.255833333
300082,-0.022796454,2017,4.62e-05,0.39743701,-0.28560967,-0.932642487,0.658031088,-0.19916968,1.187077922,1.415455377,0.196822634,0.14797892,5130469.695
300091,0.00030887,2017,3.01e-05,-0.325366435,0.014468045,-0.062176166,0.357512953,0.213437832,0.83623512,-0.00796748,-0.580822218,0.371384459,5276774.231111106
300102,0.007858714,2017,9.8e-06,-0.124684216,-0.240899046,0.665803109,-0.779792746,0.185774716,0.845426878,1.010859541,-0.968593377,-0.421990455,5205208.6375
300117,-0.002811504,2017,2.46e-05,-0.065341343,-0.518232631,-0.419689119,0.189119171,-0.02102396,1.258132515,1.38772647,-0.244506088,0.342659158,5336758.99
300130,-0.003610876,2017,1.74e-05,0.185997004,0.273336432,-0.466321244,-0.121761658,-0.050204816,1.066236377,-0.434931398,-1.948220225,0.051354444,3445962.618333332
300135,0.005724544,2017,2.91e-05,0.109804562,-0.506968587,0.575129534,0.331606218,-0.385914778,1.19031276,1.385667026,0.139150233,0.301100927,3899588.730833328
300139,-0.003652834,2017,1.22e-05,-0.175631357,0.248413518,-0.468911917,-0.422279793,-0.425504681,0.053391952,0.356446857,-2.00982002,-0.423162249,2210991.236666665
300140,0.008499345,2017,9.08e-06,0.369142927,-0.534186722,0.699481865,-0.857512953,0.06382029,1.425038105,-0.676600575,-1.537216896,0.058509804,4191357.4414285687
300143,-0.000613875,2017,3.47e-05,-0.355643915,-0.154322791,-0.189119171,0.474093264,-0.01054125,1.237997786,0.679487367,-0.746482812,0.033060453,3088693.1718181814
300153,0.001251509,2017,0.000108254,-0.150679361,-0.438996379,0.064766839,0.945595855,-0.30352473,1.321972778,1.380865246,-0.987937368,0.030252876,4585859.450833329
300157,-0.036248981,2017,8.64e-06,-0.22290636,-0.348384288,-0.966321244,-0.924870466,-0.022567133,1.297082855,1.07801648,0.013071086,-0.221700308,5970542.339999995
300162,0.012299026,2017,1.15e-05,-0.041224021,-0.358570487,0.808290155,-0.544041451,-0.46433829,0.938481287,1.457114749,-0.603199473,0.383971482,2288295.888333334
300164,-0.009935538,2017,1.11e-05,-0.101412702,0.040852173,-0.797927461,-0.603626943,-0.390474626,1.197993371,0.777191338,-0.618124215,-0.182724026,2341926.1588888895
300177,0.001309887,2017,5.26e-05,-0.007543786,0.13063835,0.069948187,0.722797927,-0.303749173,1.385884123,0.519498958,-0.576971851,-0.244418528,3758083.244
300183,0.001866986,2017,1.45e-05,0.017576963,-0.235250695,0.152849741,-0.212435233,-0.22503744,1.21493893,0.605275048,-1.39584799,-0.285372535,5633803.824999991
300188,-0.040666729,2017,8.3e-05,-0.035849616,0.680543652,-0.968911917,0.898963731,-0.077961867,0.860493927,-0.229693528,-2.558980484,-0.733019881,5448096.338333335
300189,-0.000827931,2017,1.06e-05,0.024775738,0.126458205,-0.20984456,-0.689119171,-0.3417507,0.248908625,0.416439166,-1.111640543,-0.249736426,3542449.3081818223
300190,-0.001287483,2017,1.08e-05,0.408412727,-0.339149867,-0.272020725,-0.652849741,-0.265053047,1.130841701,0.949090156,-0.316237366,0.180815085,5294353.04083333
300193,-0.000193804,2017,1.63e-05,0.430591093,-0.311528822,-0.113989637,-0.152849741,-0.225095036,0.884415178,1.4581507,0.132359163,-0.078537737,3176617.9933333336
300213,0.008724542,2017,7.03e-05,0.048645375,-0.305529586,0.712435233,0.867875648,-0.452595114,1.363699014,0.709388121,-1.592827588,-0.221757399,3052659.0963636325
300218,-0.000816481,2017,1.13e-05,0.073024727,-0.419766202,-0.204663212,-0.569948187,-0.455680111,1.04000855,1.391345464,-0.04892038,0.322045622,2306636.2450000015
300228,0.006996227,2017,3.44e-05,0.046036264,-0.498352858,0.621761658,0.468911917,-0.189218258,1.404851961,0.809644684,-0.937124611,0.194506367,4790464.566666667
