asset,date,br,start_date,end_date,compounded_xret,ch4mkt_beta,ch4pmo_beta,ch4smb_beta,ch4vmg_beta
55,2017,3.57e-05,2018/7/1,2019/6/30,-0.074416991,1.042958332,0.163458169,1.173294739,0.009446404
55,2018,6.19e-05,2019/7/1,2020/6/30,-0.149733938,1.122507749,0.344124735,1.30590265,0.214989984
55,2019,5.78e-05,2020/7/1,2021/6/30,0.047863148,0.915884562,-0.027700402,0.789567334,0.206720407
56,2014,0.0,2015/7/1,2016/6/30,-0.160253066,0.971209811,0.318172977,1.303888535,-0.012361692
56,2015,0.0,2016/7/1,2017/6/30,-0.07605805,0.616164599,-0.003752402,0.221937209,-0.579902995
56,2016,0.0,2017/7/1,2018/6/30,-0.130878693,0.51038398,-0.037217437,0.628057269,0.301565223
56,2017,0.0,2018/7/1,2019/6/30,-0.590308616,0.42538057,-0.275421656,0.989170381,0.428742908
56,2018,0.0,2019/7/1,2020/6/30,-0.10140287,1.08613243,-0.270076342,1.178526236,0.243986077
56,2019,0.0,2020/7/1,2021/6/30,-0.32914985,0.689575861,0.120575199,1.109478594,0.002776743
58,2014,0.0,2015/7/1,2016/6/30,-0.442703642,0.365842016,-0.821437031,0.333142416,-1.246511986
58,2015,0.0,2016/7/1,2017/6/30,-0.25964858,1.134348207,-0.148160474,0.965243529,-0.78385574
58,2016,0.0,2017/7/1,2018/6/30,-0.36843874,0.983262012,0.102991917,1.390821416,-0.137898114
58,2017,0.0,2018/7/1,2019/6/30,0.077362462,0.819805295,-0.089273348,1.118900666,-0.755040203
58,2018,0.0,2019/7/1,2020/6/30,0.391829532,0.873396572,0.215692535,1.548422884,-0.652820621
58,2019,0.0,2020/7/1,2021/6/30,-0.253453137,1.194322648,-0.139060876,1.384693665,0.155180229
59,2014,0.0,2015/7/1,2016/6/30,0.192742703,1.286492193,-0.42377985,-0.646076263,0.098715239
59,2015,0.0,2016/7/1,2017/6/30,0.083773146,1.1494652,-0.664523466,0.033125252,-0.614811574
59,2016,0.0,2017/7/1,2018/6/30,-0.322292711,1.480947158,0.158331439,1.110873088,0.724582921
59,2017,0.0,2018/7/1,2019/6/30,-0.049718006,1.134586689,-0.087866294,0.787431178,0.605463435
59,2018,0.0,2019/7/1,2020/6/30,-0.270647977,0.903377381,0.092874707,0.69929463,0.353023485
59,2019,2.76e-05,2020/7/1,2021/6/30,0.797015222,1.006243944,-0.099443418,1.046569728,0.699568278
60,2014,0.0,2015/7/1,2016/6/30,-0.448120949,1.263180407,0.528844722,-0.10952084,-1.601984301
60,2015,7.52e-06,2016/7/1,2017/6/30,0.061161393,1.574166551,-0.244877578,-0.611048037,-1.081983546
60,2016,9.04e-06,2017/7/1,2018/6/30,-0.339990675,1.606320405,-0.161911087,1.09103858,0.908171641
60,2017,0.0,2018/7/1,2019/6/30,-0.033393137,1.329002068,0.276312181,0.560611234,0.135891185
60,2018,2.36e-05,2019/7/1,2020/6/30,-0.202874188,1.106639523,0.373976253,0.50929523,0.193478888
60,2019,1.63e-05,2020/7/1,2021/6/30,0.219126756,1.479393602,-0.102557096,0.760137129,0.996164524
61,2014,0.0,2015/7/1,2016/6/30,-0.411582339,1.105505173,0.274514067,0.609709822,0.26873625
61,2015,0.0,2016/7/1,2017/6/30,-0.262279395,1.001736365,0.388955712,0.571391292,0.11773852
61,2016,0.0,2017/7/1,2018/6/30,-0.406292967,0.98969807,0.484113733,0.667070614,0.161842176
61,2017,0.0,2018/7/1,2019/6/30,-0.009545567,0.998234288,0.552018904,0.869310634,-0.25634659
61,2018,0.0,2019/7/1,2020/6/30,0.357479154,1.01298705,0.123858615,1.160606234,0.101172524
61,2019,0.0,2020/7/1,2021/6/30,-0.258889486,0.873995812,-0.223621111,1.007509911,0.152090922
62,2014,0.0,2015/7/1,2016/6/30,-0.532398091,1.185835594,-0.311355018,0.724684366,-0.61318579
62,2015,0.0,2016/7/1,2017/6/30,-0.024667808,1.23374199,0.369086372,0.742937657,-0.465283312
62,2016,0.0,2017/7/1,2018/6/30,-0.260647066,1.144598796,0.24490957,0.977253384,-0.187377605
