asset,beta_bri,year,br,compounded_xret,compounded_xret_beta,rank_beta,rank_br,compounded_xret_2014,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,lag_me
2506,0.006885213,2017,9.51e-06,0.406649663,0.004427123,0.613989637,-0.813471503,-0.23824903,0.365209837,0.167331939,-0.57497604,-0.028532486,11140537.872499991
2534,-0.001952127,2017,6.27e-05,0.01630046,-0.277062634,-0.341968912,0.805699482,0.161423577,0.85432462,1.831057825,0.695521501,0.015409184,7749096.500000004
2542,-0.015361354,2017,6.87e-05,-0.16494041,-0.564572575,-0.880829016,0.857512953,-0.102282151,1.175900684,0.815161273,-0.184148639,0.452872662,6275448.467500004
2543,-0.019714858,2017,5.44e-05,-0.088065094,-0.225677713,-0.909326425,0.75388601,0.334937606,1.054006499,0.950424385,0.546296547,-0.020081396,7448457.733333334
2544,0.00259865,2017,9.93e-06,-0.057074338,-0.408981619,0.227979275,-0.766839378,-0.449088738,1.064969235,0.146427147,-1.785840994,0.200483034,11449477.705000004
2557,-0.001137385,2017,2.38e-05,0.669217226,0.058738346,-0.243523316,0.150259067,-0.002122376,0.978671123,-0.137826801,-0.585903078,-0.204098125,7642650.970000002
2583,0.000538718,2017,4.02e-05,-0.002964079,-0.4893029,-0.023316062,0.590673575,0.384226491,1.04241713,-0.196823189,-1.291719199,0.073095612,15068084.944166658
2603,0.001391789,2017,9.56e-06,-0.178387675,-0.211467904,0.075129534,-0.808290155,-0.10563619,0.942746744,0.208296665,-0.264899258,-0.323668651,15242204.118333334
2640,0.002635492,2017,6.24e-05,-0.452224997,-0.304069634,0.230569948,0.795336788,0.033433097,1.169906361,0.258030507,-0.816594604,0.4274394,15665255.294166652
2678,-0.000448583,2017,2.04e-05,0.160352522,-0.338424573,-0.152849741,-0.015544041,-0.252514962,0.855630169,0.615383851,-0.317779882,0.082398919,12029195.155833334
300001,0.000466852,2017,1.86e-05,0.563262208,-0.329106608,-0.031088083,-0.080310881,-0.221526395,1.026682059,0.459704416,-0.713218721,0.438300822,13757182.650000012
300011,0.008219591,2017,4.03e-05,-0.035073148,-0.607680918,0.686528497,0.593264249,-0.507057091,1.231223016,1.217353705,-0.334180821,0.325629849,6332284.290833334
300012,0.004145231,2017,7.94e-06,0.86201744,0.227588594,0.432642487,-0.968911917,-0.235563321,1.109862797,-0.298851786,-1.604326482,-0.323744421,6637262.781666662
300015,0.000435,2017,1.69e-05,0.235290867,1.065379302,-0.03626943,-0.142487047,0.531141697,1.021270531,-0.330210358,-0.711303313,-0.092696229,28402659.628333326
300017,0.006488473,2017,2.53e-05,-0.006422776,-0.123746565,0.601036269,0.212435233,-0.410839141,1.080210296,0.421307075,-1.378577866,-0.133819388,19277900.96250001
300053,0.003487005,2017,3.72e-05,-0.151209699,-0.14946392,0.35492228,0.531088083,-0.007681779,1.199131319,-0.054520771,-2.505815983,-0.21898361,6250182.421666668
300055,-0.004421572,2017,1.08e-05,-0.385430978,-0.385245356,-0.562176166,-0.652849741,0.266108242,1.496157107,0.493071229,-0.608293413,0.438019206,13112815.770833328
300072,-0.004862882,2017,8.74e-06,-0.562586023,-0.381409482,-0.603626943,-0.914507772,0.125211012,1.34917205,0.202743265,-0.176682102,0.471111506,46685782.60416665
300079,-0.004529961,2017,5.44e-05,0.540387148,-0.385770738,-0.569948187,0.75388601,-0.418217959,1.188573913,1.162099047,-0.58911402,0.120581552,6944800.303333337
300101,0.000814465,2017,1.12e-05,-0.284502124,-0.005936641,0.010362694,-0.582901554,-0.287352169,1.026896868,-0.810243589,-3.059268645,-0.69071026,8224881.884166669
300114,0.005219374,2017,1.21e-05,0.019494386,-0.336638119,0.523316062,-0.440414508,-0.333797434,0.972964657,0.205316449,-1.773340571,0.050399228,6177818.335
300147,-0.003160324,2017,8.93e-06,-0.102520411,-0.305759362,-0.435233161,-0.883419689,-0.315337768,0.857708835,1.409992133,-0.02029698,0.219488591,6787722.179999996
300166,0.002681942,2017,2.95e-05,-0.178400163,0.080439876,0.238341969,0.341968912,-0.046327594,0.650569241,-0.408664263,-2.83330477,-0.540497896,9876771.425833335
300208,0.006895362,2017,0.000131785,-0.214115771,-0.395290649,0.616580311,0.974093264,-0.278668435,1.564215885,0.366484754,-0.596178379,0.577768695,9165954.531666676
