Stkcd,Trdmnt,beta_bri
10,201912,59.27104421390867
10,202001,70.40874266568187
10,202002,
10,202003,
10,202004,
10,202005,
10,202006,
10,202007,
10,202008,
10,202009,135.0748988089349
10,202010,128.90217365712795
10,202011,90.32015757046725
10,202012,245.10245982980388
10,202101,234.87188762702576
10,202102,250.83798561708295
10,202103,223.38233118531235
10,202104,96.61224637526362
10,202105,41.377405525001336
10,202106,50.97383671484605
10,202107,66.68316369778832
10,202108,-2.67510268741961
10,202109,-24.24684362394285
10,202110,-36.55399293903572
10,202111,-32.027280618100875
11,201512,157.81190096856642
11,201601,148.904819242848
11,201602,140.96092125240153
11,201603,93.0835890218135
11,201604,114.90615149698412
11,201605,76.1214183592857
11,201606,120.15768686203668
11,201607,129.84162388969875
11,201608,120.12127257734696
11,201609,89.71600123270987
11,201610,72.73981584550154
11,201611,12.643217013504838
11,201612,7.228751528757385
11,201701,24.028966036446235
11,201702,11.025661747943502
11,201703,-5.458328706380858
11,201704,-4.067346246356893
11,201705,25.15652058778374
11,201706,23.70146336194388
11,201707,23.60849726842393
11,201708,22.73306443476093
11,201709,25.900803564893337
11,201710,26.038292642498963
11,201711,25.591604961899044
11,201712,27.42127567054296
11,201801,27.219669287887857
11,201802,28.41772891277768
11,201803,29.63404659497364
11,201804,30.11822426973932
11,201805,45.22332593070079
11,201806,45.46840279712369
11,201807,50.174701049809485
11,201808,70.20114608660026
11,201809,70.46756188980032
11,201810,76.31878779572172
11,201811,82.9957351194745
11,201812,89.03964794988437
11,201901,82.71743039857341
11,201902,85.72898792567038
11,201903,83.05094108816513
11,201904,57.80288246627549
11,201905,64.04276221528809
11,201906,70.89488552166382
11,201907,29.43202823567868
11,201908,-16.015163628616676
11,201909,-23.111154571428248
11,201910,-41.99878795415656
11,201911,-50.83452954717247
11,201912,-54.177902610920256
11,202001,-54.60474009843424
11,202002,-59.59585939296521
11,202003,-94.53808163228692
11,202004,-150.24281162910978
11,202005,-204.1985803525168
11,202006,-215.2819928661131
11,202007,-106.84845713852792
11,202008,-130.56248563904023
11,202009,-137.52508968647442
11,202010,-101.75838660458167
11,202011,-137.29574978814105
11,202012,-188.63961886242964
11,202101,-192.2481287130968
11,202102,-167.408536642282
11,202103,-164.56270522527848
11,202104,-83.41077818755025
11,202105,69.57594740753939
11,202106,106.74260523342907
11,202107,102.74404675791266
11,202108,197.7363368801134
11,202109,189.20173102108004
11,202110,131.46488605785044
11,202111,181.74887778273617
12,201512,-61.20159874948118
12,201601,-77.57431196824426
12,201602,-56.57961460839007
12,201603,-37.05216661555498
12,201604,-31.25683402731308
12,201605,7.182747953296257
12,201606,18.372955603494532
12,201607,38.58393831412205
12,201608,41.05943456993505
12,201609,-5.253132113336207
12,201610,-26.903532674066533
12,201611,-16.553625140100692
12,201612,29.64300771758793
12,201701,63.36574479498219
12,201702,80.44669739235022
12,201703,57.9217434924206
12,201704,47.7139475950143
12,201705,4.647354351176421
12,201706,3.384334595587477
12,201707,1.7950068738667273
12,201708,2.284643293756428
12,201709,2.3958125992652577
12,201710,2.41649509944647
12,201711,1.1879870888898545
12,201712,0.6311645527435541
12,201801,-0.6595048695216388
12,201802,-1.9413385385134132
12,201803,-2.3769371528759287
12,201804,-2.653273874222279
12,201805,-29.17210753427031
12,201806,-30.519485175737216
12,201807,-22.686159865885852
12,201808,-27.220077104539016
12,201809,-37.65998197247714
12,201810,-31.16108819949652
12,201811,-20.16180982289224
12,201812,-26.029253581795444
12,201901,-6.420639992078293
12,201902,-0.3342430003482945
12,201903,-27.254350408961947
12,201904,-29.348696495108346
12,201905,-40.19777563445
12,201906,-39.34084682991235
12,201907,-44.1623739059644
12,201908,-49.37203108923372
12,201909,-36.51154736152271
12,201910,-49.33242606016397
12,201911,-62.20763555926153
12,201912,-60.21051540400431
12,202001,-59.97201675822715
12,202002,-51.98547900155397
12,202003,-37.86890014339612
12,202004,-14.937753645610655
12,202005,9.226366538545731
12,202006,22.53109687334404
12,202007,52.20792454767769
12,202008,64.93418052075145
12,202009,35.67749150881525
12,202010,6.060618083880058
12,202011,-36.13221372234341
12,202012,-77.08463881036619
12,202101,-60.20848702215267
12,202102,-77.01820962975358
12,202103,-142.4819956313164
12,202104,-10.690928002669123
12,202105,39.08366425492045
12,202106,6.722105636604965
12,202107,1.1267571057630903
12,202108,44.50763987920641
12,202109,140.41825080111562
12,202110,212.55669299516035
12,202111,309.4987115891007
14,201512,72.4354638121402
14,201601,74.15468813560956
14,201602,68.54674263185382
14,201603,7.681599580289202
14,201604,45.84984465519558
14,201605,87.32933722697297
14,201606,79.53317429644189
14,201607,85.5728275934865
14,201608,104.43239111868384
14,201609,65.00664093243185
14,201610,58.93882293608122
14,201611,18.017895118568383
14,201612,14.10560939469373
14,201701,7.766005681806291
14,201702,4.804403793748829
14,201703,10.481701878711837
14,201704,-2.4481528730298265
14,201705,8.287176517477825
14,201706,7.302354208103923
14,201707,7.004791706817108
14,201708,6.700420484570575
14,201709,8.745538383190159
14,201710,8.844492890286542
14,201711,7.487629352940547
14,201712,8.881997928925617
14,201801,5.204250227299496
14,201802,7.236528630677496
14,201803,8.887006029872152
14,201804,10.605765083323728
14,201805,21.613408699729604
14,201806,41.81112384424056
14,201807,47.12518888432379
14,201808,70.75456275194189
14,201809,57.44780709216763
14,201810,48.89792148718693
14,201811,65.45761786762495
14,201812,59.766858400543946
14,201901,91.15494654976494
14,201902,99.54827723898931
14,201903,55.48075867704343
14,201904,19.769519878978496
14,201905,1.5060497757048346
14,201906,-53.615832818909226
14,201907,-47.11690078796122
14,201908,-73.06843575764749
14,201909,-65.422633722216
14,201910,-76.20623357756368
14,201911,-85.60555424681415
14,201912,-75.76177842588764
14,202001,-62.75223260172319
14,202002,-68.41233603082242
14,202003,-54.51381393731816
14,202004,-29.02628748705476
14,202005,-44.36868699214125
14,202006,-30.56497555792221
14,202007,-48.90138918702593
14,202008,-7.353070433435263
14,202009,-42.48667440786477
14,202010,16.05780255753647
14,202011,-8.434975414336492
14,202012,-16.101986365568763
14,202101,70.65015828655854
14,202102,111.89477866972824
14,202103,131.6811346604126
14,202104,188.92472629454969
14,202105,234.17531388754617
14,202106,213.4342825913181
14,202107,191.01090780707975
14,202108,162.58391729678738
14,202109,207.0835311645004
14,202110,179.11596670095287
14,202111,214.38932794764656
16,201512,-3.4250187839299144
16,201601,71.74863127050094
16,201602,81.69454270875156
16,201603,96.87187673717445
16,201604,68.24624292040156
16,201605,34.08266965547415
16,201606,31.251144111777364
16,201607,31.32772408175677
16,201608,32.10019383223195
16,201609,-13.915307648839136
16,201610,40.76572735492592
16,201611,59.68204636129988
16,201612,71.6393027450692
16,201701,25.80727583442887
16,201702,32.96782087503803
16,201703,25.504808655489388
16,201704,32.612426119219975
16,201705,4.270461788264074
16,201706,2.562218773137388
16,201707,2.8095561451082607
16,201708,2.1643233560607955
16,201709,1.9601974210809248
16,201710,1.910557179680727
16,201711,2.2973485374403597
16,201712,2.020732674021228
16,201801,2.07507495068453
16,201802,2.269057689569125
16,201803,2.373318178115553
16,201804,1.1071181888594217
16,201805,-2.109800667256408
16,201806,-10.99754914952738
16,201807,-8.899079916243224
16,201808,3.6847183193412434
16,201809,-2.603222072948938
16,201810,-4.718765812859218
16,201811,-5.063450681177756
16,201812,3.0463873051938464
16,201901,-22.57690759547572
16,201902,-15.717535708995584
16,201903,-5.169296645036997
16,201904,-2.1856738696974034
16,201905,12.788544490266704
16,201906,15.390086181074906
16,201907,7.491186162137502
16,201908,-8.713479639736022
16,201909,-7.286465967996193
16,201910,-20.38724158915624
16,201911,-30.821715951686866
16,201912,-40.59974233599069
16,202001,-19.79951129454072
16,202002,-47.68655779788506
16,202003,-84.35870482901676
16,202004,-58.71882062979228
16,202005,-21.191218011054048
16,202006,-13.216323182174335
16,202007,-15.026203292773232
16,202008,-6.37732663226052
16,202009,-20.76732023059708
16,202010,-16.890928206352953
16,202011,41.78789392787735
16,202012,156.9928551328053
16,202101,53.71419116970435
16,202102,261.3498242226352
16,202103,150.71613255239788
16,202104,92.50697108716
16,202105,54.72353455785635
16,202106,54.8249267162703
16,202107,-12.207640171694834
16,202108,46.53285776487603
16,202109,85.67616370776588
16,202110,79.31327787591373
16,202111,61.306164586655726
17,201512,175.94648657014693
17,201601,175.18619693179488
17,201602,198.22242568993917
17,201603,169.95563448392073
17,201604,158.63805381778508
17,201605,79.45964649050975
17,201606,50.23572233156811
17,201607,42.42709057657731
17,201608,43.47369854729596
17,201609,18.095252023729984
17,201610,33.393669880263175
17,201611,-9.376705290819537
17,201612,-10.610763296810376
17,201701,-40.15508663673224
17,201702,-38.96889215350379
17,201703,-11.913498248917463
17,201704,-11.660881913300258
17,201705,12.573335859568765
17,201706,11.71523329464696
17,201707,11.673446366446615
17,201708,11.530116982884032
17,201709,11.373677086520328
17,201710,11.789922859601209
17,201711,11.22008055081751
17,201712,12.378634139918136
17,201801,11.845899639988884
17,201802,11.235284427663736
17,201803,12.294308307633663
17,201804,11.756479565374224
17,201805,49.80755899458366
17,201806,33.97297665293618
17,201807,61.46259305497537
17,201808,74.53007357319606
17,201809,102.7486099438037
17,201810,104.9629278930812
17,201811,106.60499883612356
