asset,beta_bri,ch4mkt_beta,ch4smb_beta,ch4vmg_beta,ch4pmo_beta,year,br,compounded_xret,rank_beta,rank_br,choice,industry
39,-0.005557069,0.011994697,0.003082041,0.001528275,0.002361895,2019,0.0,1.478701205,0.21873095750000002,0.33699570624999997,1,C33
40,-0.025856901,0.009402531,0.015861002,-0.003410187,0.006740021,2016,0.0,-0.241323972,-0.28623073,-0.6201073232500001,0,K70
40,0.001129166,0.006301836,0.008664862,-0.004049392,0.004504593,2017,0.0,-0.35281174,-0.28623073,-0.6201073232500001,0,E48
40,-0.035685344,0.007413545,0.012363012,0.002084435,0.000286304,2018,0.0,-0.559088849,-0.28623073,-0.6201073232500001,0,D44
40,-0.007105717,0.007474391,0.009542038,0.003646597,-0.00244828,2019,8.59e-06,-0.058998452,-0.28623073,-0.6201073232500001,0,D44
42,0.027808444,0.011772614,0.00740706,0.004256185,-0.000106072,2016,0.0,-0.109500744,0.11706020175,-1.0,0,K70
42,-0.009432641,0.006910303,0.004654112,0.004941608,0.002048936,2017,0.0,-0.334223096,0.11706020175,-1.0,0,K70
42,0.022044909,0.005393359,0.007121627,0.005355026,-0.000856044,2018,0.0,-0.002102375,0.11706020175,-1.0,0,K70
42,0.020176912,0.006204285,0.003973897,0.00179986,-0.001863252,2019,0.0,-0.165855258,0.11706020175,-1.0,0,K70
45,0.017357392,0.012108167,0.006774813,-0.006580069,-0.000135636,2016,0.0,-0.411802165,0.45479480775000003,-1.0,0,C39
45,0.039647476,0.012972292,0.02175082,-0.001645551,-0.0037444,2017,0.0,-0.031521767,0.45479480775000003,-1.0,0,C39
45,0.009290272,0.009897585,0.009678042,-0.001321776,0.000274396,2018,0.0,0.113652869,0.45479480775000003,-1.0,0,C39
45,0.022078431,0.009574462,0.011501712,-0.002003837,-0.001648087,2019,0.0,0.112250723,0.45479480775000003,-1.0,0,C39
48,0.11159551,0.008147603,0.015125183,-0.001454095,0.003388938,2016,0.0,-0.18196457,0.920140412,-1.0,0,C13
49,-0.028873196,0.011955041,0.010986301,0.013774012,-0.008782742,2016,0.0,-0.459781688,-0.56041701,-1.0,0,C38
49,-0.018647903,0.010489903,0.015429424,0.011042891,-0.004731085,2017,0.0,-0.081858117,-0.56041701,-1.0,0,C38
49,-0.027393287,0.01101802,0.003423798,-0.008526594,0.000726437,2018,0.0,0.88196992,-0.56041701,-1.0,0,C38
49,-0.0178082,0.011295227,0.002978619,-0.004813591,0.006185664,2019,0.0,0.357482818,-0.56041701,-1.0,0,C38
50,0.025269066,0.01044187,0.011302961,-0.004902075,-0.003356467,2016,0.0,-0.314523514,0.04700223849999999,-0.63378378375,0,C39
50,0.00253553,0.01358807,0.018468016,0.004469463,-0.003960588,2017,0.0,-0.064551357,0.04700223849999999,-0.63378378375,0,C39
50,0.00080047,0.016099735,0.009343038,-0.000576582,0.002381882,2018,8.29e-06,0.132559398,0.04700223849999999,-0.63378378375,0,C39
50,-0.022166713,0.010628567,0.002600083,-0.011377187,-0.001667063,2019,0.0,-0.091058411,0.04700223849999999,-0.63378378375,0,C39
55,0.016602331,0.010679591,0.014049573,0.00104032,0.00157149,2016,6.25e-05,-0.221132864,-0.11051350800000004,0.9282202695,1,C33
55,-0.008503455,0.007886296,0.007199765,-0.002665217,0.00297274,2017,3.57e-05,-0.074416991,-0.11051350800000004,0.9282202695,1,C33
55,0.063496161,0.014089296,0.011689943,0.005537479,0.002650696,2018,6.19e-05,-0.149733938,-0.11051350800000004,0.9282202695,1,C33
55,-0.063572007,0.010723134,0.012850395,0.00070135,0.000347941,2019,5.78e-05,0.047863148,-0.11051350800000004,0.9282202695,1,C33
56,0.123056642,0.009118439,0.015958294,0.000397599,0.005345513,2016,0.0,-0.130878693,-0.05560361500000002,-1.0,0,K70
56,-0.00981949,0.006671082,0.003881035,-0.004779232,1.93e-06,2017,0.0,-0.590308616,-0.05560361500000002,-1.0,0,K70
56,0.012986662,0.002198851,0.010570847,0.007455679,0.003199081,2018,0.0,-0.10140287,-0.05560361500000002,-1.0,0,K70
56,-0.050228057,0.006292286,0.015713007,0.006422766,-0.008115637,2019,0.0,-0.32914985,-0.05560361500000002,-1.0,0,L72
58,-0.032376913,0.009644776,0.004219064,-0.014130749,-0.00017356,2016,0.0,-0.36843874,-0.25016694850000004,-1.0,0,L72
58,0.004173445,0.011251408,0.006817456,-0.009982417,0.000191116,2017,0.0,0.077362462,-0.25016694850000004,-1.0,0,L72
58,-0.001975929,0.011337485,0.017176077,0.002753047,0.000630683,2018,0.0,0.391829532,-0.25016694850000004,-1.0,0,L72
58,-0.067193176,0.007254167,0.01263226,-0.004662586,0.000215268,2019,0.0,-0.253453137,-0.25016694850000004,-1.0,0,L72
59,0.014994595,0.012857886,-0.006141967,0.000905839,-0.004093848,2016,0.0,-0.322292711,0.08467112600000001,-0.5353535352500001,0,C25
59,0.00037522,0.011526367,0.004531142,-0.003255204,-0.003642728,2017,0.0,-0.049718006,0.08467112600000001,-0.5353535352500001,0,C25
59,-0.001249893,0.014430929,0.010913084,0.007272208,0.002014472,2018,0.0,-0.270647977,0.08467112600000001,-0.5353535352500001,0,C25
59,0.011299721,0.010766089,0.007966773,0.006056781,-0.002816483,2019,2.76e-05,0.797015222,0.08467112600000001,-0.5353535352500001,0,C25
60,-0.03631131,0.012746435,0.000851988,-0.012698883,0.006238572,2016,9.04e-06,-0.339990675,-0.273732608,0.24562068825,0,C32
60,0.000571132,0.017287048,-0.002683357,-0.006865166,-0.002195076,2017,0.0,-0.033393137,-0.273732608,0.24562068825,0,C32
60,-0.00500978,0.015065592,0.00993607,0.006753854,-0.001650056,2018,2.36e-05,-0.202874188,-0.273732608,0.24562068825,0,C32
60,-0.025697404,0.013052455,0.007172219,0.004069008,0.000404092,2019,1.63e-05,0.219126756,-0.273732608,0.24562068825,0,C32
